,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,uni_handle,compound,Sentiment
90,"Congratulations Rohith Raj R, PES University (@PESUniversity)- College of Engineering for making it to #ETCampusStars Class 2018-19.

ETCS- an initiative by @Economictimes in association with @IndianOilcl, @myamcat, @bennettunivpic.twitter.com/jkv2yl9fDF",ET Campus Stars,1156468268544094208,2019-07-31 07:34:56,['ETCampusStars'],ETCampusStars,0,0.0,0.5994,Positive
91,Campus recruitment at PESIT @PESUniversity Looking forward add some amazing talent to @MuSigmaInc #sigmaxing,Bharath Rao,1156418521720487936,2019-07-31 04:17:15,['sigmaxing'],Bharath_Rao,1,0.0,0.765,Positive
92,"Volunteering for prestigious conferences: Students of hospitality program, #PESUniversity contributed to the success of 48th #Skal Asia Congress 2019 aimed at promoting global tourism & friendship. Student volunteers handled logistic work & took part in flag parade.pic.twitter.com/yPbSDzdmHG",PES University,1156223106005946368,2019-07-30 15:20:44,"['PESUniversity', 'Skal']",PESUniversity,0,1.0,0.8442,Positive
93,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: http://tinyurl.com/y4sdltfr pic.twitter.com/cKU2EYTDiH",Lawctopus,1156081868808192000,2019-07-30 05:59:31,[],Lawctopus,0,0.0,0.0,Neutral
94,"I don't race, 
I don't chase,
that's why I can't be replaced  @ PES University https://www.instagram.com/p/B0gzREPgOOKA5_LxSJArUBL5gdXNYbOseds3Ck0/?igshid=ys3buknbqej2 …",Adhikansh Mittal,1155924065112252416,2019-07-29 19:32:27,[],AdhikanshMittal,0,0.0,0.0,Neutral
95,"PES in the NEWS: Global provider of team collaboration and productivity software, Atlassian Corporation opened an R&D centre. The company was the top recruiter at #PESU, last year offering the highest compensation of ₹ 48 lakh plus benefits for IT talent.https://bit.ly/2SO5vmn ",PES University,1155491716029243392,2019-07-28 14:54:27,['PESU'],PESUniversity,0,1.0,0.5267,Positive
96,"Bangalore youth, Bhaarat Chetty, a final year http://B.Tech . Computer Science student of PES University, made the city proud by attending Google’s annual developer conference, Google I/O – 2019, held at California, United States from May… https://mycitybeats.wordpress.com/2019/06/04/bangalore-youth-bhaarat-chetty-a-final-year-b-tech-computer-science-student-of-pes-university-made-the-city-proud-by-attending-googles-annual-developer-conference-google-i-o-2019-held/ …pic.twitter.com/BnN4tJlxsK",Balaji,1135790891866689536,2019-06-04 06:10:25,[],krbalaji68,0,0.0,0.7096,Positive
97,"Bangalore youth, Bhaarat Chetty, a final year http://B.Tech . Computer Science student of PES University, made the city proud by attending Google’s annual developer conference, Google I/O – 2019, held at California, United States from May… https://mycitybeats.wordpress.com/2019/06/04/bangalore-youth-bhaarat-chetty-a-final-year-b-tech-computer-science-student-of-pes-university-made-the-city-proud-by-attending-googles-annual-developer-conference-google-i-o-2019-held/ …pic.twitter.com/BnN4tJlxsK",Balaji,1135790891866689536,2019-06-04 06:10:25,[],krbalaji68,0,0.0,0.7096,Positive
98,"PES University, Bangalore Wanted Faculty Jobs 2019

#PES #University #Assistant #Associate #Professors #Jobs #CareersPages_College
https://faculty.careerspages.com/pes-university-bangalore-faculty-jobs/ …",Careerspages,1148350316250664960,2019-07-08 21:57:05,"['PES', 'University', 'Assistant', 'Associate', 'Professors', 'Jobs', 'CareersPages_College']",careerspages,1,0.0,0.0,Neutral
99,"Join the 3rd Edition of PESIUP Webinar with Dr. Prashanth N Bharadwaj. Know more about the career scope in the USA and also about the PESIUP's Global MBA Degree.

Mark your calendar for July 10, Wednesday at 5:00 pm IST.

Webinar link: https://lnkd.in/dsEqmbR 
#PESIUP #GlobalMBApic.twitter.com/Kods7pznZn",PES University,1148116562529832960,2019-07-08 06:28:14,"['PESIUP', 'GlobalMBApic']",PESUniversity,0,1.0,0.296,Positive
100,It's there on photo. Today 7th July 2019 at 11 02 near PES university traffic signal. Just curiosity why we need location details for this problem,nagesh,1147830060029579264,2019-07-07 11:29:46,[],nknagesh,0,0.0,-0.481,Negative
101,"I wouldn't say they eat mostly animal food, but indeed, they eat much  more animal food than usually said, and much more animal fat. 
According to Gianni Pes (university of Sassari), centenarians are also found preferentialy in populations of herders, not  in plant growers.",Fabien Abraini,1147774626057129984,2019-07-07 07:49:30,[],Fabiensapiens,0,0.0,0.0,Neutral
102,pesuniversity @ PES University https://www.instagram.com/p/BzmwSkJH3Xw/?igshid=19wdiohhl6ipt …,universitiesbangalore.com,1147754740589182976,2019-07-07 06:30:29,[],universitiesba1,0,0.0,0.0,Neutral
103,"PES University, Bangalore Wanted Faculty Jobs 2019

#PES #University #Assistant #Associate #Professors #Jobs #CareersPages_College
https://faculty.careerspages.com/pes-university-bangalore-faculty-jobs/ …",Careerspages,1148350316250664960,2019-07-08 21:57:05,"['PES', 'University', 'Assistant', 'Associate', 'Professors', 'Jobs', 'CareersPages_College']",careerspages,1,0.0,0.0,Neutral
104,"Join the 3rd Edition of PESIUP Webinar with Dr. Prashanth N Bharadwaj. Know more about the career scope in the USA and also about the PESIUP's Global MBA Degree.

Mark your calendar for July 10, Wednesday at 5:00 pm IST.

Webinar link: https://lnkd.in/dsEqmbR 
#PESIUP #GlobalMBApic.twitter.com/Kods7pznZn",PES University,1148116562529832960,2019-07-08 06:28:14,"['PESIUP', 'GlobalMBApic']",PESUniversity,0,1.0,0.296,Positive
105,It's there on photo. Today 7th July 2019 at 11 02 near PES university traffic signal. Just curiosity why we need location details for this problem,nagesh,1147830060029579264,2019-07-07 11:29:46,[],nknagesh,0,0.0,-0.481,Negative
106,"I wouldn't say they eat mostly animal food, but indeed, they eat much  more animal food than usually said, and much more animal fat. 
According to Gianni Pes (university of Sassari), centenarians are also found preferentialy in populations of herders, not  in plant growers.",Fabien Abraini,1147774626057129984,2019-07-07 07:49:30,[],Fabiensapiens,0,0.0,0.0,Neutral
