,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
73,"Salumarada Thimakka thousands of others who have done so good, but those beauty winners what is their contribution. What is sad is Institutions like Sathya Sai University even after 100 years will not be ranked. but I challenge you all the alumni social ecological global",2020-06-12 04:20:23+00:00,loveall68866200,0,0.0,0.9056,Positive
74,"@AICTE_INDIA @ugc_india @AIUIndia @NAAC_India Very good how many this top ranking institutes helping the thousands who are struggling through, really rankings are like those Miss India, Miss World, Miss Universe but compare them with Mother Theresa Sister Niveditha",2020-06-12 04:18:01+00:00,loveall68866200,0,0.0,0.3134,Positive
75,Near IIT Delhi... Actually before I was living at IIT Delhi hostels... But after graduation I need to shift at Flat.,2020-06-12 04:14:48+00:00,Tri_sid_naaz,0,0.0,0.0,Neutral
76,iit delhi is not a university,2020-06-12 03:55:39+00:00,bhayankaraapiya,0,0.0,0.0,Neutral
77,Thank you Yadav Ji ,2020-06-12 03:50:17+00:00,drqayumiitk,0,0.0,0.3612,Positive
78,Congratulations for achievement,2020-06-12 03:43:24+00:00,tdyadav,0,0.0,0.5994,Positive
79,Please send me link for registration,2020-06-12 03:42:30+00:00,nadigoti21,0,0.0,0.3182,Positive
80,"@DrRPNishank are you sure that at 2nd place @iitdelhi and not #JNU , or you want to check your facts again??? @zoo_bear @AltNews can help you in factchecking",2020-06-12 03:42:25+00:00,MaharishiRaghu,0,0.0,0.7041,Positive
81,Congratulations,2020-06-12 03:31:55+00:00,MohitSa66806620,0,0.0,0.5994,Positive
82,"Forget top 100 or even 150... only 3 indian institutes barely manage to get themselves featured among the top 200 universities in the world - IIT Bombay (#172), IISc Bangalore (#185) and IIT Delhi (#193)",2020-06-12 03:22:56+00:00,tathagatorc,0,0.0,0.1779,Positive
83,Cancel jee,2020-06-12 03:21:59+00:00,SomaniSaksham,0,0.0,-0.25,Negative
84,IIT Delhi bags top prize at the GITEX competition ,2020-06-12 03:20:04+00:00,rolebuild,0,0.0,0.6249,Positive
85,"Ministry of MHRD only prepared the rank list. Unfortunately, #JNU was replaced by #IITDelhi in 2nd position by our responsible Minister. This is not accidental, this govt can never appreciate the excellence of JNU. Finally, he edited the tweet shamelessly. @nomadic_ex",2020-06-12 03:17:48+00:00,DonyMathew2,3,0.0,-0.7123,Negative
86,"A beautiful movie. Related to it a lot. Reminded me of the time when me, my sisters & my friends were going through this journey a decade or so back. In some sense, we are going through it currently as well PS: Guess what my nick name was for the 4 years of my life at IIT Delhi ",2020-06-12 03:09:58+00:00,aimar09,0,0.0,0.8442,Positive
87,"Its a sad this that we don't have a working mechanism to reach our leaders to express our views, even if over 200000 students support it on twitter. #postponejee #postponeneet #StudentsLivesMatter @DrRPNishank @DG_NTA @republic @ndtv",2020-06-12 02:47:03+00:00,VinayK37542461,0,0.0,-0.0772,Negative
88,I think no one reads the Tweets and replies. You just tweet and forget about it so all amount of pleading is going to fall on deaf ears. Declare results soon. Global univs need the results soon.,2020-06-12 02:28:47+00:00,rashi_16,0,0.0,-0.4767,Negative
89,Congratulations IIT Delhi #IITDelhi ,2020-06-12 02:10:55+00:00,neema_bhagat,0,0.0,0.5994,Positive
90,Most of Directors most corrupt. If you do cross check then you will http://found.no action against corruption.,2020-06-12 01:53:59+00:00,shalinig10,0,0.0,0.0,Neutral
91,"NEET shouldn't be held on July 26th. I don't want to risk my life just because of an exam. And especially, I don't want to risk my parent's, my grandparent's lives. I don't want them to suffer because of me. #postponeneet #postponejee @narendramodi @DG_NTA #JusticeForStudents",2020-06-12 01:49:13+00:00,PratikBrahma2,0,0.0,-0.4218,Negative
92,#Data-driven is an over-used buzzword! What does it mean for sustainable development? Find out more in this session. https://acmcompass.org/day-3 @iitdelhi @Uber_India @hariomahlawat @cseUSF @NIUlive @Logistimo,2020-06-12 01:20:06+00:00,acmcompass,2,0.0,0.0,Neutral
93,IIT Delhi and IIT Bombay have been ranked second and third among engineering colleges ,2020-06-11 23:00:00+00:00,livemint,2,0.0,0.0,Neutral
94,IITs NITs ko no congrats Hm le k rahenge Equality..hm bhi maange Equality ,2020-06-11 21:31:48+00:00,ye_mera_walahai,0,0.0,-0.4168,Negative
95,They resheduled COMDEK exam for 25 july neet is on 26 july i don't think they will postpone it. ,2020-06-11 21:17:39+00:00,6_sakshi,0,0.0,-0.2263,Negative
96,"AIIMS Delhi best medical college in India, PGI Chandigarh and CMC Vellore at second and third spot. IIT Madras best engineering college, IIT Delhi and IIT Bombay ranked second and third: HRD Ministry's ranking (PTI) • Hawk Eye Port Blair",2020-06-11 20:54:41+00:00,MrGladPortBlair,0,0.0,0.8555,Positive
97,"Is this historic, proud or Worst moment for us. Please reply",2020-06-11 20:04:31+00:00,manishtrivedi07,0,0.0,0.0772,Positive
98,"Sir.After the Pandemic, participation will decrease in International Rating agencies. They are comparing Apple's with oranges. For India, NIRF ranking need to be made robust & transparent as per national & regional context. Ministry & reg. authorities need to change mindset.",2020-06-11 19:32:34+00:00,ProfessorJayant,0,0.0,0.34,Positive
99,Postponed NEET and JEE main,2020-06-11 19:13:57+00:00,Chaitan13444576,0,0.0,-0.2023,Negative
100,Sir ofcourse we are not testing kit,2020-06-11 18:50:20+00:00,PiyushG67384806,0,0.0,0.0,Neutral
101,when its a matter of high ranking.... every administration call immediate meetings... when research scholars ask about their problems.... ignore them they are servent #HostelsBelongToStudents #IITDelhi @IITKgp @iitstories @iitmadras @iit__mandi @iitrpr @IIT_Bhilai @iitbbs,2020-06-11 18:47:33+00:00,cool43330889,0,0.0,-0.6249,Negative
102,#postpone neet sir,2020-06-11 18:37:48+00:00,JoyHald07200313,0,0.0,-0.2263,Negative
103,Iit delhi is not university it's a institution,2020-06-11 18:34:34+00:00,Rohansi4Singh,0,0.0,0.0,Neutral
104,"Respected all i am working on contract basis in BSNL I am working as a Broadbrand Technician a total of 6 years in BSNL i working at the risk of my life in a dangerous situation,I have been not received my salary for the last 13 month pleas help",2020-06-11 18:33:37+00:00,GajananUgavekar,0,0.0,0.1531,Positive
105,@iitdelhi proud moment ... ,2020-06-11 18:25:00+00:00,Aamomin183_Call,0,0.0,0.4767,Positive
106,"Postpone : JEE Mains 2020, NEET 2020, CA, CS and NCHM JEE exams. #changejeemainexamdates #postponeexams #postponejee #postponeneeet #StudentLivesMatter #HealthOverExams #killcorona",2020-06-11 18:19:20+00:00,hrick09,3,0.0,-0.2263,Negative
107,"And IIT Patna is the only IIT which offers http://M.Tech course in mechatronics nobody else. So I request u plz make it available in IIT Delhi , Bombay ,Madras Kanpur also. Bcoz everyone can't go to patna to study it.@iitmadras @iitdelhi @iitbombay @myogiadityanath",2020-06-11 18:13:56+00:00,YoungVoice9876,0,0.0,0.0772,Positive
108,#IITDelhi 2nd Rank in India #IITKanpur 4th Rank in India #almamater outstanding #NIRFRankings2020 #mhrd @DrRPNishank,2020-06-11 18:13:03+00:00,Aamomin183_Call,0,0.0,0.6124,Positive
109,Nowadays mostly those who are engineering graduates are CERTIFIED ENGINEERS BUT NOT QUALIFIED ENGINEERS... #EducationNeverDies #educationsystem,2020-06-11 18:12:18+00:00,MogiliVarun,0,0.0,0.0,Neutral
110,"U thirdclass Toyota India sold faulty vehicle to me, nd u people are not fixing under warranty, my vehicle is taken fro Ravindhu Toyota Rajajinagar Bangalore, the third grade people I have seen in any showroom is Ravindhu Toyota Rajajinagar Bangalore,Chor hai Sab..",2020-06-11 18:05:04+00:00,yarzarvi,0,0.0,-0.3182,Negative
111,"While JNU bags no. 2 position in NIRF Rankings 2020 under 'University' category, our MHRD minister cannot digest the same fact and he tweets with @iitdelhi in 2nd rank instead of JNU. JNU keeps haunting the fascists and they are compelled to lie. #NIRFRankings2020 #JNU",2020-06-11 17:58:17+00:00,DebnathPradipta,1,0.0,-0.4019,Negative
112,"Pls sir don't say that,a studious student won't ask to postpone #jee #neet but that might be atmost 2% of us but pls think about the remaining 98% Pls retweet this until it gets to mhrd #postponejee #retweet",2020-06-11 17:46:14+00:00,Tejasku52363713,2,0.0,0.3363,Positive
113,@HRDMinistry issued a National Institutional Ranking Framework(NIRF) 2020 . JNU got top position in among all India's central university. IIT Delhi got second position in Engineering institutes. @jmiu_official increases its ranking to 10th this year .,2020-06-11 17:40:44+00:00,Rahul_Manav11,0,0.0,0.2023,Positive
